Gene	cancer_d1-healthy_d1_FC	cancer_d22-healthy_d22_FC	cancer_d2-cancer_d1-healthy_d2-healthy_d1_FC	cancer_d23-cancer_d22-healthy_d23-healthy_d22_FC	cancer_d1-healthy_d1_logFC	cancer_d22-healthy_d22_logFC	cancer_d2-cancer_d1-healthy_d2-healthy_d1_logFC	cancer_d23-cancer_d22-healthy_d23-healthy_d22_logFC	cancer_d1-healthy_d1_tstat	cancer_d22-healthy_d22_tstat	cancer_d2-cancer_d1-healthy_d2-healthy_d1_tstat	cancer_d23-cancer_d22-healthy_d23-healthy_d22_tstat	cancer_d1-healthy_d1_pval	cancer_d22-healthy_d22_pval	cancer_d2-cancer_d1-healthy_d2-healthy_d1_pval	cancer_d23-cancer_d22-healthy_d23-healthy_d22_pval	cancer_d1-healthy_d1_adjpval	cancer_d22-healthy_d22_adjpval	cancer_d2-cancer_d1-healthy_d2-healthy_d1_adjpval	cancer_d23-cancer_d22-healthy_d23-healthy_d22_adjpval
ICAM-1	-1.33999331439822	-1.29393445334315	1.04244829690703	-1.03098539824706	-0.42222580269156	-0.371764536780265	0.0599758310123057	-0.0440239000913465	-3.26208063622652	-2.87186744452695	0.550786169070442	-0.404010941683636	0.00126723499130534	0.00444668852389635	0.582294215598783	0.686565579034041	0.00411851372174234	0.0165162716601865	0.792903161259842	0.798545344911534
VCAM-1	1.19514092736351	1.11960495859274	-1.02376013952525	-1.02999347068799	0.257180746424293	0.162989781556618	-0.0338777406773758	-0.0426351919367391	2.19049787761587	1.38806968938372	-0.3429854154354	-0.431347511967506	0.0294537390634227	0.166407063742694	0.731910610393701	0.666604133581537	0.0638164346374159	0.309902709601184	0.792903161259842	0.798545344911534
SAA	2.30290289258995	1.4014087799966	-1.11222884423282	-1.67866461286797	1.20345357772536	0.486877840032509	-0.153453657191456	-0.74731401724026	2.34234432606922	0.947518966097199	-0.355022164482944	-1.72774328438497	0.019983827413465	0.344330461738798	0.722885759849407	0.0853247058729849	0.0519579512750089	0.526623059129927	0.792903161259842	0.277305294087201
IL-17C	-1.47169238175261	-1.13911376561942	1.13721400441882	1.05272049581542	-0.557476145784189	-0.18791183914324	0.185503770555428	0.0741224422253501	-4.26226906516459	-1.43653174606706	1.68590331037741	0.673159213328436	2.92134141277097e-05	0.152168464456372	0.0931290923424208	0.501501210402026	0.000151909753464091	0.309902709601184	0.721085806090193	0.798545344911534
IL-17B	-2.04197501724981	-1.45977486623761	-1.10802168419284	-1.13138984522223	-1.02996521552507	-0.54574588663451	-0.14798611547678	-0.178096127258131	-6.09468125169083	-3.22898049843608	-1.04091378146509	-1.25180423335146	4.40207423146409e-09	0.00141795083329161	0.298975176690254	0.211873997033792	3.81513100060221e-08	0.00737334433311638	0.792903161259842	0.55087239228786
IL-1Ra	-1.15684217122947	-1.03129615940147	-1.30118166105355	-1.13042006912711	-0.210192049997354	-0.0444586938546845	-0.379822394188931	-0.176858984171912	-0.538729775427016	-0.113935196248842	-1.1571791749655	-0.538437526647353	0.590578461038955	0.909385524409367	0.248362928368341	0.590779842666247	0.731192380333944	0.909385524409367	0.792903161259842	0.798545344911534
TSLP	1.34940629769513	1.49631228095647	-1.16384364632249	1.20478743469276	0.432324800040035	0.581411297666386	-0.21889725598988	0.268778628640926	1.31640633481787	1.77014887064778	-0.792292382429418	0.972138289021442	0.189308060702423	0.0779866756965245	0.42898173309125	0.331971862248173	0.289529975191941	0.202765356810964	0.792903161259842	0.663943724496346
Eotaxin	1.2780968420605	1.22360519914868	-1.11337115834248	1.16411896271714	0.353997154177879	0.291138142092183	-0.154934616073513	0.219238496521449	1.53369017536621	1.26119859983704	-0.797890243762086	1.12826046545494	0.126427209029841	0.208465717573851	0.425725430200029	0.260340092133896	0.205444214673492	0.361340577128008	0.792903161259842	0.615349308680118
Eotaxin-3	-1.21645878395334	-1.09727305664275	-1.15737917672289	-1.25450675412147	-0.282687439722744	-0.133922585398898	-0.210861592845421	-0.327120238073767	-0.615650450556276	-0.291627196513285	-0.545860918456524	-0.846232680795874	0.538710478315374	0.770824380047212	0.585670160331997	0.398268572955053	0.700323621809987	0.835059745051146	0.792903161259842	0.739641635487955
IP-10	1.02179683788622	-1.19596097591078	-1.2101916782673	-2.21810969176559	0.0311083762065607	-0.258170315306491	-0.275235569305593	-1.14933071259303	0.0754892663614648	-0.626412876314727	-0.793906303033444	-3.31289418876026	0.939888522663808	0.531641390727129	0.428036716761756	0.00106636012765148	0.972389600208075	0.727509271521335	0.792903161259842	0.00924178777297946
MCP-1	1.63570324201121	1.9519063029041	-1.0944643478118	-1.23245377814857	0.709911030606463	0.964883801066798	-0.130224959477418	-0.301533540894239	2.02892092306251	2.75729174550678	-0.442397085365889	-1.0236500565482	0.0435739034494314	0.00627782843621638	0.658601569421941	0.307034525400327	0.0871478068988627	0.0204029424177032	0.792903161259842	0.663943724496346
MCP-4	-1.22470463205243	-1.14221985946459	-1.06691274577385	1.05473899882225	-0.292433849428269	-0.191840373669431	-0.0934421945441315	0.0768860399845144	-1.07608025857305	-0.705835574891916	-0.408711522938606	0.336061844503774	0.282975309782947	0.480977124821927	0.683116980748788	0.737118779918339	0.408742114130924	0.694744735853894	0.792903161259842	0.798545344911534
MDC	-1.04763709067864	1.05305541314545	1.08877271344442	-1.05534911466148	-0.0671390430665948	0.0745813548505421	0.122702815937178	-0.0777203284813108	-0.376179992434129	0.417827791926061	0.817206675515828	-0.517261154157395	0.707116463677442	0.676447785657647	0.414623380295224	0.605451763387887	0.766042835650562	0.835059745051146	0.792903161259842	0.798545344911534
MIP-1alpha	2.62185873304427	1.20662197109598	-1.50331235190997	4.12258899365102	1.39058995458067	0.270973757411272	-0.588144797500076	2.04355063721962	1.68099171655688	0.327521811895002	-0.845098974995746	2.93431396007701	0.0940695293267584	0.743559662223496	0.39889993302272	0.00366799493287878	0.166262387888844	0.835059745051146	0.792903161259842	0.0190735736509696
MIP-1beta	-1.09550458675298	-1.09778041474333	-1.11581781819604	1.00706345634013	-0.131595524740661	-0.134589505852766	-0.158101494693485	0.0101545922452662	-0.382858416189442	-0.391520751599581	-0.546751374644989	0.0350924959120494	0.702164682167485	0.695760842478086	0.58505913280418	0.972035246484081	0.766042835650562	0.835059745051146	0.792903161259842	0.972035246484081
TARC	9.04612782881378	11.3686722581856	-1.0077617332751	-1.30855249065245	3.17730038251506	3.5069918672896	-0.0111545804494799	-0.387971797129625	8.66856122583351	9.56687310516551	-0.0361741900203652	-1.2573135416607	6.71685506704806e-16	1.43749507967964e-18	0.971173630370501	0.209866109311197	1.7463823174325e-14	3.73748720716706e-17	0.971173630370501	0.55087239228786
