"Gene"	"d2-d1_FC"	"d23-d22_FC"	"(d23-d22)-(d2-d1)_FC"	"d2-d1_logFC"	"d23-d22_logFC"	"(d23-d22)-(d2-d1)_logFC"	"d2-d1_tstat"	"d23-d22_tstat"	"(d23-d22)-(d2-d1)_tstat"	"d2-d1_pval"	"d23-d22_pval"	"(d23-d22)-(d2-d1)_pval"	"d2-d1_adjpval"	"d23-d22_adjpval"	"(d23-d22)-(d2-d1)_adjpval"
"CRP"	1.22699812090794	1.13594645540908	-1.08015489204205	0.295133039580385	0.183894832785924	-0.111238206794461	1.30095679578975	0.810614876476095	-0.346724096246714	0.220979559499812	0.435498146918621	0.73561778722632	0.801050903186818	0.742908603567059	0.937068268864834
"ICAM-1"	1.02416774979336	1.01956719207709	-1.00451226535339	0.0344520356252076	0.0279568557685543	-0.00649517985665327	0.364930575430899	0.296130875221562	-0.0486487345616233	0.722375616095601	0.7728798030294	0.962108294049898	0.910821428990106	0.884071306436283	0.962108294049898
"VCAM-1"	-1.01537526943934	1.00930305123806	1.02482135759679	-0.0220130272131485	0.0133594201070544	0.0353724473202028	-0.20006868551925	0.121419084900842	0.227326182532591	0.845232398636457	0.905641609011065	0.82451672505637	0.925248504421467	0.909690179018886	0.937068268864834
"SAA"	1.06051886889727	-1.06652746247722	-1.13107249815422	0.0847702897249967	-0.0929211147357769	-0.177691404460774	0.246017450487111	-0.269672497497378	-0.36464785920957	0.810390985408947	0.792615654046323	0.72258053062063	0.925248504421467	0.884071306436283	0.937068268864834
"IL-17C"	1.23045816081926	-1.03334116674809	-1.27148307153568	0.299195602773898	-0.0473166514097567	-0.346512254183654	1.99479588380472	-0.315469413963726	-1.63360425839202	0.0725518101620311	0.758559785339845	0.131807942835443	0.700444185555467	0.884071306436283	0.764486068445567
"IL-17B"	-1.06219588298752	-1.09244382332193	-1.02847680057781	-0.0870498427480495	-0.127559094006295	-0.0405092512582454	-0.725345620858159	-1.06289026283363	-0.238680105294039	0.484024581477305	0.311564502386189	0.815927976121422	0.910821428990106	0.695028505323036	0.937068268864834
"IL-1Ra"	1.32090620370764	1.59729748409749	1.20924368408147	0.401528025820031	0.675633028381032	0.274105002561001	1.82381213612141	3.06884610161205	0.880371959806012	0.0966129911110989	0.0111843506977919	0.398276201985452	0.700444185555467	0.0648692340471932	0.925923326046512
"TSLP"	-1.010881003306	1.2085221950442	1.22167212904384	-0.0156131791950198	0.273243969078802	0.288857148273821	-0.0533620804281625	0.933881977037979	0.698086967720431	0.958440790211131	0.371253930888457	0.500225445989125	0.967436761359378	0.742908603567059	0.925923326046512
"Eotaxin"	1.03377117500956	1.07713763971617	1.04194977162737	0.0479168808049302	0.107202613343915	0.0592857325389851	0.401858818734499	0.899063437351383	0.35157675746127	0.695811647126036	0.388685748239608	0.732079245895408	0.910821428990106	0.742908603567059	0.937068268864834
"Eotaxin-3"	-1.27873610289257	-1.20849514782654	1.05812266204986	-0.354718561067829	-0.273211680616415	0.0815068804514141	-0.865695870404778	-0.666777128729817	0.14065679114346	0.40592015260455	0.519235806323213	0.890791577102663	0.910821428990106	0.752891919168658	0.937068268864834
"IP-10"	2.00894025936114	2.26025214801643	1.12509674565196	1.00643466272481	1.17648372503043	0.170049062305619	2.09730919090478	2.45167443137924	0.250574064556295	0.0609448337259897	0.0330114564614354	0.806957873597827	0.700444185555467	0.136761748197375	0.937068268864834
"MCP-1"	1.04320881574986	1.16335004876573	1.11516508603267	0.0610279663849127	0.218285265024527	0.157257298639614	0.44644098620214	1.59683330059376	0.813450206531201	0.664306440691119	0.139806072658143	0.433941443265879	0.910821428990106	0.405437610708613	0.925923326046512
"MCP-4"	1.03484814919952	1.05579298700416	1.02023952772283	0.049419086111838	0.0783269882002466	0.0289079020884087	0.296320192386213	0.46965393410968	0.122565464181101	0.772739173979709	0.648163106090341	0.904755569938461	0.925248504421467	0.85439682166454	0.937068268864834
"MDC"	1.04991584565826	-1.03651558939332	-1.08825414157585	0.0702736955894459	-0.0517418150206943	-0.12201551061014	0.554265422288217	-0.408100053823142	-0.680495154138163	0.590956449737606	0.691362885094699	0.510854248853248	0.910821428990106	0.871718420336794	0.925923326046512
"MIP-1alpha"	2.02192744860738	12.1886279111948	6.02822218947066	1.01573123096387	3.6074638240343	2.59173259307043	1.51402493770234	5.37720021295794	2.73167743404545	0.159398280551428	0.000259354722794907	0.020208610930511	0.770425022665235	0.0075212869610523	0.441495263450629
"MIP-1beta"	1.28635231863305	1.73682493314826	1.3501938061525	0.363285836080243	0.796452341954201	0.433166505873959	1.64289989821673	3.60182352730651	1.38516818195594	0.129851410110271	0.00444135656173624	0.194599377508974	0.753138178639571	0.0321998350725877	0.925923326046512
"TARC"	1.06013989647432	-1.09374608522791	-1.15952386156271	0.0842546559512218	-0.129277853212498	-0.21353250916372	0.449741028708981	-0.690069338443894	-0.805967639880526	0.662000256853535	0.505052871737484	0.438057639046254	0.910821428990106	0.752891919168658	0.925923326046512
"IL-27"	1.13793682497947	-1.82934245365962	-2.08167614351759	0.186420465536624	-0.871325173473629	-1.05774563901025	0.178858717793677	-0.83598173011873	-0.717600562541256	0.861438262737228	0.421702311567097	0.488594341548275	0.925248504421467	0.742908603567059	0.925923326046512
"MIP-3alpha"	-1.49135284351002	-2.20130650595631	-1.47604674208107	-0.576621629424896	-1.13836003747688	-0.561738408051985	-0.620322228295208	-1.22463327599099	-0.427312439771638	0.54821559464389	0.247364328549545	0.677745456913843	0.910821428990106	0.597797127328068	0.937068268864834
