"Gene"	"d2-d1_FC"	"d23-d22_FC"	"(d23-d22)-(d2-d1)_FC"	"d2-d1_logFC"	"d23-d22_logFC"	"(d23-d22)-(d2-d1)_logFC"	"d2-d1_tstat"	"d23-d22_tstat"	"(d23-d22)-(d2-d1)_tstat"	"d2-d1_pval"	"d23-d22_pval"	"(d23-d22)-(d2-d1)_pval"	"d2-d1_adjpval"	"d23-d22_adjpval"	"(d23-d22)-(d2-d1)_adjpval"
"Eotaxin"	-1.0798330454784	-1.16073460232961	-1.07492043069989	-0.110808272500217	-0.21503814302816	-0.104229870527943	-1.8533181946716	-3.59660965765623	-1.23269321506105	0.0678279039567678	0.000579342695274755	0.221596866728109	0.322182543794647	0.0031450032029201	0.538214960927003
"Eotaxin-3"	1.18541460424476	-1.25752843928735	-1.49069257718435	0.245391736653685	-0.330591027271264	-0.575982763924949	1.24949751596099	-1.6833193855969	-2.07381471907011	0.215425555642442	0.0965329104171051	0.0415808267816498	0.644481397945839	0.262017899703571	0.175563490855855
"IP-10"	1.94068273581118	2.01255040611569	1.03703215831127	0.956564284520587	1.00902491726077	0.052460632740182	5.97930297861519	6.30722450221736	0.231875533036117	7.34502855600611e-08	1.87337293625799e-08	0.817275483255734	2.79111085128232e-06	3.55940857889019e-07	0.95912560985196
"MCP-1"	-1.11125211856827	1.02034027778885	1.1338552953534	-0.152186169511758	0.0290503631873094	0.181236532699067	-2.35750463943869	0.450017016731403	1.98521760140596	0.0210472819702703	0.654015316232156	0.0508309894217037	0.266598904956757	0.742466351591641	0.193157759802474
"MCP-4"	1.02118779867786	-1.03277600809915	-1.05465825823808	0.0302482053996789	-0.0465273916229485	-0.0767755970226274	0.424354559317214	-0.65273660064955	-0.761618463168583	0.672539915064767	0.515951271175054	0.448711164546862	0.881259199050384	0.67607407947076	0.722819290304503
"MDC"	1.01600712996091	-1.01914303376897	-1.03545658875927	0.0229105264438978	-0.0273565437784082	-0.050267070222306	0.59176716390702	-0.706605514530144	-0.918088125430259	0.555812317015344	0.482033354949074	0.36155905466262	0.821479086077064	0.654188124573744	0.654249717960932
"MIP-1alpha"	-1.53484041128575	1.41079028919353	2.16533794770375	-0.61808865571534	0.496503550496485	1.11459220621182	-1.98409706836782	1.59380249073522	2.52995704064612	0.0509584335662601	0.115248056759269	0.013537603793733	0.294698175462764	0.291961743790149	0.123671078357194
"MIP-1beta"	-1.01519525993511	1.13786927532505	1.15515949473579	-0.0217572381962325	0.186334822430676	0.208092060626909	-0.260313994700958	2.22939885758212	1.76049284105667	0.79534542131887	0.0288258305920409	0.0824610928555362	0.962223900144351	0.0995801420452321	0.241040117577721
"TARC"	-1.04885543214087	-1.09857487348448	-1.04740352180102	-0.0688158393006866	-0.135633200142275	-0.0668173608415881	-0.655416886940427	-1.29179983425895	-0.44999069748041	0.514234281685243	0.200451365844175	0.654034206476621	0.814204279334969	0.376785854589402	0.93142526168696
"IL-27"	-1.17501987295077	-1.1647603984651	1.00880822742531	-0.232685157100976	-0.220033210246379	0.0126519468545965	-0.803101404214533	-0.759433830349628	0.0308776375978394	0.424491251920516	0.450008486504306	0.975450352995627	0.796687395556194	0.654188124573744	0.999023567667817
"MIP-3alpha"	-1.09055365533626	1.03452750105863	1.12820774782537	-0.125060752448409	0.0489719971684792	0.174032749616888	-0.519015784393721	0.203239137987841	0.510711353361366	0.605300379214678	0.839506617429999	0.611075263589896	0.821479086077064	0.874888269407229	0.928834400656642
"bFGF"	-1.37205468610734	-3.49173678944214	-2.54489622374205	-0.456337984283007	-1.8039448112931	-1.3476068270101	-1.21805572320173	-4.81508306872156	-2.54348242813052	0.237440515032678	0.000106493728551242	0.0193867627942234	0.644481397945839	0.000809352336989438	0.123671078357194
"Flt-1"	-1.04893473065439	-1.06237623588588	-1.01281443433864	-0.0689249098591134	-0.087294780757345	-0.0183698708982316	-1.41665713772924	-1.79422467870012	-0.266980568576434	0.172039665667037	0.0879775285224066	0.792229783713689	0.644481397945839	0.257165083373188	0.95912560985196
"PlGF"	-1.05773229574043	1.19729672494774	1.26641941356147	-0.080974538153507	0.259780738380364	0.340755276533871	-0.978600782453007	3.13952557979775	2.9119550765306	0.339518760976332	0.00518027544342886	0.00864773674506507	0.739250961228534	0.0246063083562871	0.123671078357194
"Tie-2"	1.00114929809225	-1.01867842782675	-1.01984919300047	0.00165713456970096	-0.0266986993959968	-0.0283558339656977	0.0359739641930605	-0.57958965652753	-0.435269210463273	0.97166134029445	0.568692090392269	0.668048767441887	0.986609348365469	0.720343314496874	0.93142526168696
"VEGF-A"	-1.00227992045449	1.01374745154648	1.01605871509695	-0.00328548603147105	0.019698287664859	0.0229837736963301	-0.0481601261085152	0.288746325193372	0.23822883634106	0.962068439602233	0.775760243851492	0.814138163771954	0.986609348365469	0.842253979038763	0.95912560985196
"VEGF-C"	-1.02343510863898	1.03338135421682	1.05759875851839	-0.0334196305365708	0.0473727578887555	0.0807923884253263	-0.69765701019587	0.988937821955743	1.19260264292859	0.493458884157459	0.334560017911211	0.247044383586645	0.814204279334969	0.529720028359417	0.538214960927003
"VEGF-D"	-1.08109629451944	1.0474122187271	1.13235346850025	-0.112495031341229	0.0668293399497131	0.179324371290942	-2.189445473383	1.30067251946662	2.46788609988515	0.0406472594806697	0.208223761746775	0.0227815144342199	0.294698175462764	0.376785854589402	0.123671078357194
